round_stage,public_history_bin,original_is_stag,n_models,n_cells,original_is_stag_low,original_is_stag_high
Later rounds,0.125,0.5969416674211528,7,199,0.4790069003327284,0.6999893652504106
Later rounds,0.375,0.7696625552577933,7,162,0.6734986758171282,0.8547103747222795
Later rounds,0.625,0.9148109243697479,7,98,0.8263323454381752,0.9809121148459383
Later rounds,0.875,0.9237416505063564,7,128,0.8354727070315305,0.9945128205128205
Round 1,0.125,0.7124556163928987,7,286,0.6387985316077651,0.7790855732536918
Round 1,0.375,0.8219165984182669,7,209,0.7511866626089126,0.8904860739110395
Round 1,0.625,0.9760596546310831,7,92,0.9285223704866561,1.0
Round 1,0.875,0.9540816326530612,7,125,0.8621811224489796,1.0
