specification,predictor,estimate,cluster_se,ci_low,ci_high,p_value,n_turns,n_clusters
Exposure only,prior_liar_share,-0.11957131738985963,0.047722342819470284,-0.2131071093160214,-0.026035525463697876,0.012225675432132545,2852,497
Public history only,prior_public_stag_share,0.49925028700279805,0.04123277894415644,0.41843404027225145,0.5800665337333447,9.569410834992318e-34,2852,497
Exposure + public history,prior_liar_share,0.30281553917274057,0.06250817265081951,0.18029952077713435,0.4253315575683468,1.2698516387952566e-06,2852,497
Exposure + public history,prior_public_stag_share,0.5935309363021325,0.04364602921816874,0.5079847190345218,0.6790771535697432,4.073999830041968e-42,2852,497
