num_agents,stag_success_threshold,liar_share,honest_original_stag_rate,intended_success,public_success,flip_induced_loss,shared_failure,n_models,n_cells,honest_original_stag_rate_low,honest_original_stag_rate_high,intended_success_low,intended_success_high,public_success_low,public_success_high,flip_induced_loss_low,flip_induced_loss_high,shared_failure_low,shared_failure_high
2,1,0.0,0.9880952380952381,0.9920634920634921,0.9920634920634921,0.0,0.007936507936507936,7,21,0.9523809523809523,1.0,0.9682539682539683,1.0,0.9682539682539683,1.0,0.0,0.0,0.0,0.031746031746031744
2,1,0.5,0.9880952380952381,1.0,0.9880952380952381,0.011904761904761904,0.0,7,21,0.9523809523809523,1.0,1.0,1.0,0.9523809523809523,1.0,0.0,0.047619047619047616,0.0,0.0
2,2,0.0,0.9166666666666666,0.8928571428571429,0.8928571428571429,0.0,0.10714285714285714,7,21,0.7738095238095237,1.0,0.7258928571428571,1.0,0.7258928571428571,1.0,0.0,0.0,0.0,0.27410714285714255
2,2,0.5,0.634920634920635,0.5833333333333333,0.05158730158730158,0.5833333333333333,0.36507936507936506,7,21,0.46031746031746035,0.7857142857142858,0.38095238095238093,0.7741071428571427,0.0,0.13105158730158722,0.38095238095238093,0.7741071428571427,0.21428571428571425,0.5396825396825397
3,1,0.3333333333333333,0.9682539682539683,1.0,0.9761904761904762,0.023809523809523808,0.0,7,21,0.888888888888889,1.0,1.0,1.0,0.9047619047619048,1.0,0.0,0.09523809523809523,0.0,0.0
3,1,0.6666666666666666,0.9880952380952381,0.9880952380952381,1.0,0.0,0.0,7,21,0.9523809523809523,1.0,0.9523809523809523,1.0,1.0,1.0,0.0,0.0,0.0,0.0
3,2,0.3333333333333333,0.8809523809523808,0.9007936507936508,0.861111111111111,0.03968253968253967,0.0992063492063492,7,21,0.75,0.9841269841269842,0.7698412698412699,1.0,0.7261904761904762,0.9761904761904762,0.0,0.1349206349206349,0.0,0.23015873015873015
3,2,0.6666666666666666,0.619047619047619,0.7658730158730158,0.25793650793650796,0.5357142857142857,0.20634920634920634,7,21,0.44841269841269843,0.7777777777777778,0.6626984126984128,0.8730158730158728,0.10714285714285714,0.43263888888888874,0.3848214285714286,0.6904761904761905,0.09910714285714285,0.31349206349206343
3,3,0.3333333333333333,0.42658730158730157,0.3373015873015873,0.05952380952380953,0.3373015873015873,0.6031746031746031,7,21,0.21423611111111107,0.634920634920635,0.1587301587301587,0.5397817460317459,0.0,0.21458333333333304,0.1587301587301587,0.5397817460317459,0.38482142857142854,0.8214285714285713
3,3,0.6666666666666666,0.41666666666666663,0.14285714285714285,0.0,0.14285714285714285,0.8571428571428571,7,21,0.17857142857142858,0.6547619047619048,0.0,0.38124999999999976,0.0,0.0,0.0,0.38124999999999976,0.6187499999999999,1.0
