liar_share,honest_realized_payoff,honest_truthful_payoff,honest_mechanical_payoff_gap,n_models,n_cells,honest_realized_payoff_low,honest_realized_payoff_high,honest_truthful_payoff_low,honest_truthful_payoff_high,honest_mechanical_payoff_gap_low,honest_mechanical_payoff_gap_high
0.2,3.9265873015873014,3.9265873015873014,0.0,7,21,3.7876984126984135,4.0,3.7876984126984135,4.0,0.0,0.0
0.4,3.4656084656084656,3.6613756613756614,0.19576719576719578,7,21,2.886111111111111,3.857142857142857,3.380952380952381,3.888888888888889,-0.03174603174603175,0.6670634920634918
0.6,1.7023809523809523,3.2182539682539684,1.5158730158730158,7,21,1.2142857142857142,2.25,2.904761904761905,3.488095238095238,0.9365079365079365,2.0956349206349203
0.8,1.4444444444444444,3.0317460317460316,1.5873015873015872,7,21,1.015873015873016,1.9607142857142854,2.706349206349206,3.349206349206349,1.0634920634920635,2.111111111111111
