num_agents,stag_success_threshold,liar_share,honest_realized_payoff,honest_truthful_payoff,honest_mechanical_payoff_gap,n_models,n_cells,honest_realized_payoff_low,honest_realized_payoff_high,honest_truthful_payoff_low,honest_truthful_payoff_high,honest_mechanical_payoff_gap_low,honest_mechanical_payoff_gap_high
2,1,0.0,3.976190476190476,3.976190476190476,0.0,7,21,3.9047619047619047,4.0,3.9047619047619047,4.0,0.0,0.0
2,1,0.5,3.976190476190476,3.976190476190476,0.0,7,21,3.9047619047619047,4.0,3.9047619047619047,4.0,0.0,0.0
2,2,0.0,3.738095238095238,3.738095238095238,0.0,7,21,3.2851190476190477,4.0,3.2851190476190477,4.0,0.0,0.0
2,2,0.5,0.9365079365079365,3.0634920634920633,2.126984126984127,7,21,0.47619047619047616,1.476190476190476,2.523809523809524,3.523809523809524,1.0476190476190477,3.0476190476190474
3,1,0.3333333333333333,3.9365079365079367,3.9365079365079367,0.0,7,21,3.7777777777777777,4.0,3.7777777777777777,4.0,0.0,0.0
3,1,0.6666666666666666,3.976190476190476,3.976190476190476,0.0,7,21,3.9047619047619047,4.0,3.9047619047619047,4.0,0.0,0.0
3,2,0.3333333333333333,3.682539682539683,3.761904761904762,0.07936507936507935,7,21,3.3410714285714285,3.952380952380952,3.5,3.9682539682539684,0.0,0.2698412698412698
3,2,0.6666666666666666,1.7142857142857142,3.2063492063492065,1.492063492063492,7,21,1.2857142857142858,2.2142857142857144,2.864880952380952,3.5238095238095233,1.0154761904761904,2.047619047619048
3,3,0.3333333333333333,1.3849206349206349,2.496031746031746,1.1111111111111112,7,21,0.9205357142857142,1.8253968253968256,2.0116071428571427,3.0240079365079366,0.1742063492063492,2.111904761904761
3,3,0.6666666666666666,1.1666666666666665,1.7380952380952384,0.5714285714285714,7,21,0.6904761904761906,1.6428571428571428,1.119047619047619,2.5,0.0,1.524999999999999
5,1,0.2,3.9206349206349205,3.9206349206349205,0.0,7,21,3.7299603174603178,4.0,3.7299603174603178,4.0,0.0,0.0
5,1,0.4,3.904761904761905,3.904761904761905,0.0,7,21,3.687830687830688,4.0,3.687830687830688,4.0,0.0,0.0
5,1,0.6,3.8452380952380953,3.8452380952380953,0.0,7,21,3.583333333333333,4.0,3.583333333333333,4.0,0.0,0.0
5,1,0.8,3.8015873015873014,3.8015873015873014,0.0,7,21,3.373015873015873,4.0,3.373015873015873,4.0,0.0,0.0
5,2,0.2,3.9067460317460316,3.930555555555556,0.023809523809523808,7,21,3.682440476190476,4.0,3.7816468253968254,4.0,0.0,0.09523809523809523
5,2,0.4,3.9523809523809526,3.9523809523809526,0.0,7,21,3.8253968253968256,4.0,3.8253968253968256,4.0,0.0,0.0
5,2,0.6,3.9523809523809526,3.9523809523809526,0.0,7,21,3.8803571428571426,4.0,3.8803571428571426,4.0,0.0,0.0
5,2,0.8,1.873015873015873,3.46031746031746,1.5873015873015872,7,21,1.2380952380952384,2.4613095238095224,3.1188492063492066,3.746031746031746,0.8888888888888887,2.380952380952381
5,3,0.2,3.9265873015873014,3.9265873015873014,0.0,7,21,3.8154761904761907,4.0,3.8154761904761907,4.0,0.0,0.0
5,3,0.4,3.4656084656084656,3.6613756613756614,0.19576719576719578,7,21,2.9125661375661376,3.9047619047619047,3.3940476190476194,3.9047619047619047,-0.032010582010582,0.6833333333333327
5,3,0.6,1.7023809523809523,3.2182539682539684,1.5158730158730158,7,21,1.1903769841269842,2.2897817460317462,2.9404761904761902,3.4722222222222223,0.9043650793650795,2.1351190476190474
5,3,0.8,1.4444444444444444,3.0317460317460316,1.5873015873015872,7,21,1.0396825396825398,1.9765873015873014,2.7222222222222223,3.3571428571428568,1.0476190476190477,2.126984126984127
5,4,0.2,3.2043650793650795,3.33531746031746,0.13095238095238096,7,21,2.4899305555555555,3.857142857142857,2.7313492063492064,3.857142857142857,-0.04851190476190471,0.619047619047619
5,4,0.4,1.1587301587301586,2.746031746031746,1.5873015873015872,7,21,0.8729497354497352,1.4551587301587297,2.4656084656084656,3.0000661375661375,1.0793650793650795,2.0793650793650795
5,4,0.6,0.9523809523809523,2.126984126984127,1.1746031746031744,7,21,0.5949404761904761,1.32172619047619,1.5714285714285712,2.7502976190476187,0.3331349206349206,2.0958333333333328
5,4,0.8,0.9444444444444444,1.5476190476190477,0.6031746031746031,7,21,0.5950396825396825,1.3017857142857143,0.880952380952381,2.293650793650794,0.0,1.381349206349206
