liar_share,round,honest_original_stag_rate,intended_success,public_success,n_models,n_cells,honest_original_stag_rate_low,honest_original_stag_rate_high,intended_success_low,intended_success_high,public_success_low,public_success_high
0.2,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,7,7,0.5714285714285714,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0
0.2,2,0.9642857142857143,1.0,1.0,7,7,0.8928571428571429,1.0,1.0,1.0,1.0,1.0
0.2,3,1.0,1.0,1.0,7,7,1.0,1.0,1.0,1.0,1.0,1.0
0.2,4,1.0,1.0,1.0,7,7,1.0,1.0,1.0,1.0,1.0,1.0
0.4,1,0.7142857142857144,0.7619047619047619,0.7619047619047619,7,7,0.42857142857142855,0.9523809523809524,0.42857142857142855,1.0,0.42857142857142855,1.0
0.4,2,0.8412698412698413,0.8095238095238094,0.8571428571428571,7,7,0.5555555555555556,1.0,0.5238095238095238,1.0,0.5714285714285714,1.0
0.4,3,0.9047619047619049,0.9047619047619048,0.9047619047619048,7,7,0.7142857142857142,1.0,0.7142857142857142,1.0,0.7142857142857142,1.0
0.4,4,0.7142857142857142,0.8095238095238094,0.6666666666666666,7,7,0.42738095238095236,0.9523809523809524,0.5238095238095238,1.0,0.3333333333333333,0.9523809523809524
0.6,1,0.4761904761904762,0.7619047619047619,0.0,7,7,0.2857142857142857,0.6904761904761906,0.42857142857142855,1.0,0.0,0.0
0.6,2,0.7380952380952381,0.6666666666666667,0.8571428571428571,7,7,0.5,0.9285714285714286,0.38095238095238093,0.9523809523809524,0.5714285714285714,1.0
0.6,3,0.4761904761904762,0.619047619047619,0.19047619047619047,7,7,0.2613095238095239,0.6428571428571429,0.23809523809523808,0.9047619047619048,0.0,0.4761904761904762
0.6,4,0.6666666666666667,0.7142857142857143,0.619047619047619,7,7,0.3321428571428572,0.9523809523809524,0.42500000000000016,1.0,0.2857142857142857,0.9047619047619049
0.8,1,0.23809523809523808,0.47619047619047616,0.047619047619047616,7,7,0.047619047619047616,0.42857142857142855,0.19047619047619047,0.7142857142857143,0.0,0.14285714285714285
0.8,2,0.761904761904762,0.9047619047619048,0.047619047619047616,7,7,0.5238095238095238,0.9523809523809524,0.8095238095238094,1.0,0.0,0.14285714285714285
0.8,3,0.5714285714285714,0.6666666666666666,0.09523809523809523,7,7,0.2857142857142857,0.8095238095238094,0.42738095238095236,0.9047619047619048,0.0,0.2857142857142857
0.8,4,0.7142857142857143,0.7142857142857143,0.14285714285714285,7,7,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.8571428571428571,0.0,0.3333333333333333
