round,metric,matched_pairs,base_mean,b3_mean,difference_b3_minus_base,paired_se,ci_low,ci_high
1,honest_original_stag_rate,90,0.7669753086419756,0.8796296296296299,0.11265432098765431,0.03943389066919523,0.03536389527603165,0.18994474669927697
1,intended_success,90,0.8185185185185185,0.9444444444444444,0.12592592592592594,0.033136237011695574,0.06097890138300262,0.19087295046884928
1,public_success,90,0.6111111111111112,0.8222222222222222,0.21111111111111114,0.04389485412771126,0.12507719702079706,0.2971450252014252
1,flip_induced_loss,90,0.2148148148148148,0.12222222222222222,-0.09259259259259256,0.041147292435702615,-0.17324128576656966,-0.011943899418615442
1,flip_induced_rescue,90,0.007407407407407407,0.0,-0.007407407407407407,0.00520831888378261,-0.017615712419621322,0.002800897604806508
1,honest_realized_payoff,90,2.8635802469135796,3.388888888888889,0.5253086419753087,0.12891175432253912,0.272641603503132,0.7779756804474853
1,honest_truthful_payoff,90,3.4450617283950615,3.7148148148148152,0.2697530864197531,0.087920236731567,0.09742942242588179,0.4420767504136244
2,honest_original_stag_rate,58,0.7811302681992337,0.8620689655172413,0.08093869731800768,0.04559844660011012,-0.008434258018208157,0.17031165265422352
2,intended_success,58,0.8045977011494254,0.8448275862068966,0.04022988505747128,0.04421009971766877,-0.0464219103891595,0.12688168050410206
2,public_success,58,0.6494252873563218,0.8103448275862069,0.16091954022988506,0.04797532702457795,0.06688789926171228,0.2549511811980578
2,flip_induced_loss,58,0.17816091954022986,0.05172413793103448,-0.1264367816091954,0.04401963713822244,-0.21271527040011137,-0.0401582928182794
2,flip_induced_rescue,58,0.022988505747126436,0.017241379310344827,-0.005747126436781608,0.022440018576479974,-0.049729562846682354,0.038235309973119136
2,honest_realized_payoff,58,2.872605363984675,3.4827586206896552,0.6101532567049808,0.155861164876162,0.30466537354770323,0.9156411398622584
2,honest_truthful_payoff,58,3.397509578544061,3.6206896551724137,0.22318007662835251,0.12349858897876388,-0.01887715777002469,0.4652373110267297
3,honest_original_stag_rate,31,0.7553763440860215,0.7365591397849464,-0.01881720430107526,0.058058708059442604,-0.13261227209758275,0.09497786349543225
3,intended_success,31,0.7956989247311829,0.8064516129032258,0.010752688172043019,0.05461688214709804,-0.09629640083626914,0.11780177718035517
3,public_success,31,0.7096774193548387,0.7096774193548387,1.2534776084477573e-17,0.0725042741705536,-0.14210837737428506,0.14210837737428506
3,flip_induced_loss,31,0.11827956989247311,0.0967741935483871,-0.02150537634408602,0.07239788486281058,-0.16340523067519477,0.12039447798702273
3,flip_induced_rescue,31,0.03225806451612903,0.0,-0.03225806451612903,0.017992688742668288,-0.06752373445175888,0.0030076054195008126
3,honest_realized_payoff,31,3.123655913978494,3.365591397849462,0.24193548387096775,0.20063202252732787,-0.15130328028259488,0.6351742480245304
3,honest_truthful_payoff,31,3.4032258064516134,3.408602150537634,0.005376344086021515,0.12805032588729015,-0.24560229465306718,0.2563549828251102
4,honest_original_stag_rate,31,0.7741935483870968,0.7580645161290323,-0.016129032258064502,0.06103196506126925,-0.13575168377815222,0.10349361926202322
4,intended_success,31,0.8064516129032258,0.7096774193548387,-0.0967741935483871,0.05823683444183485,-0.2109183890543834,0.01737000195760921
4,public_success,31,0.7204301075268814,0.7096774193548387,-0.010752688172043,0.052383730197692074,-0.11342479935951946,0.09191942301543346
4,flip_induced_loss,31,0.12903225806451613,0.03225806451612903,-0.09677419354838708,0.04424745336777337,-0.18349920214922288,-0.010049184947551276
4,flip_induced_rescue,31,0.04301075268817204,0.03225806451612903,-0.010752688172043006,0.02885249003225536,-0.0673035686352635,0.04579819229117749
4,honest_realized_payoff,31,3.1612903225806455,3.3225806451612905,0.16129032258064518,0.15678289575682733,-0.1460041531027364,0.46858479826402677
4,honest_truthful_payoff,31,3.4193548387096775,3.3225806451612905,-0.09677419354838712,0.12481149311710478,-0.34140472005791245,0.14785633296113823
